음식ID,이름,탄,단,지
5848,스무디_엔젤푸드 스무디 (S),,0.28,
5849,스무디_오레오 루비치노,,0.48,
5850,스무디_오레오 초코 프라페,,1.62,
5851,스무디_오레오 쉐이크 (R),,1.65,
5852,스무디_오레오 스무디,,2.04,
5853,스무디_오렌지 레볼루션 스무디 (L),,0.51,
5854,스무디_오렌지 레볼루션 스무디 (R),,0.63,
5855,스무디_오렌지 레볼루션 스무디 (S),,0.56,
5856,스무디_오렌지 카밤 스무디 (L),,0.68,
5857,스무디_오렌지 카밤 스무디 (R),,0.63,
5858,스무디_오렌지 카밤 스무디 (S),,0.56,
5859,스무디_옥수수 바나치노,15.03,0.95,
5860,스무디_요거트 블렌디드,,0.9,
5861,스무디_요거트 스무디 (L),,1.23,
5862,스무디_요거트 스무디 (M),,0.88,
5863,스무디_유자 요거스 아이스(ICED) (L),15.86,0.95,
5864,스무디_유자 요거스 아이스(ICED) (ML),16.2,0.99,
5865,스무디_자두크러쉬,,0.14,
5866,스무디_자몽 요거트 블렌디드,,0.91,
5867,스무디_슬림 청포도 스무디,,0.05,
5868,스무디_슬림앤슬림 다크초코 스무디 (L),,1.02,
5869,스무디_슬림앤슬림 다크초코 스무디 (R),,1.06,
5870,스무디_슬림앤슬림 다크초코 스무디 (S),,1.13,
5871,스무디_슬림앤슬림 스트로베리 스무디 (L),,1.02,
5872,스무디_슬림앤슬림 스트로베리 스무디 (R),,1.06,
5873,스무디_슬림앤슬림 스트로베리 스무디 (S),,1.13,
5874,스무디_애플 키위 케일 스무디 (L),,0.34,
5875,스무디_애플 키위 케일 스무디 (R),,0.42,
5876,스무디_애플 키위 케일 스무디 (S),,0.28,
5877,스무디_애플망고 샹그리아 소르베,,0.11,
5878,스무디_애플망고 스무디,,0.0,
5879,스무디_애플망고크러쉬,,0.1,
5880,스무디_약과 카라멜 쉐이크,,1.02,
5881,스무디_양지감로,,0.2,
5882,스무디_에스프레소 쉐이크,,0.85,
5883,스무디_에스프레소 프라페,,1.69,
5884,스무디_엔젤푸드 스무디 (L),,0.34,
5885,스무디_엔젤푸드 스무디 (R),,0.42,
5886,스무디_삼삼 한라봉 스무디 (R),,0.21,
5887,스무디_삼삼 한라봉 스무디 (S),,0.28,
5888,스무디_샤인머스캣 스무디,,0.0,
5889,스무디_소다 쉐이크 (L),11.73,0.74,
5890,스무디_소다 쉐이크 (ML),12.39,0.85,
5891,스무디_솔티카라멜 밀크 쉐이크,,0.98,
5892,스무디_수박 슬러피 아이스(ICED) (L),23.78,0.11,
5893,스무디_수박 슬러피 아이스(ICED) (ML),20.99,0.14,
5894,스무디_스트로베리 요거트 블렌디드 (L),,1.06,
5895,스무디_스트로베리 요거트 블렌디드 (R),,1.13,
5896,스무디_스트로베리 익스트림 스무디 (L),,0.17,
5897,스무디_스트로베리 키스 스무디 (L),,1.35,
5898,스무디_스트로베리 키스 스무디 (R),,1.27,
5899,스무디_스트로베리 키스 스무디 (S),,1.41,
5900,스무디_슬림 깔라만시 스무디,,0.04,
5901,스무디_슬림 깔라만시 요거트 스무디,,1.31,
5902,스무디_슬림 딸기 요거트 스무디,,2.28,
5903,스무디_슬림 망고 스무디,,0.13,
5904,스무디_슬림 망고 요거트 스무디,,1.72,
5905,스무디_복숭아 요거스무디,,1.86,
5906,스무디_복숭아 요거트 드링크,10.56,1.64,
5907,스무디_브이브이 찰떡이브이,,1.24,
5908,스무디_블루베리 요거스 아이스(ICED) (L),13.74,0.95,
5909,스무디_블루베리 요거스 아이스(ICED) (ML),14.37,0.99,
5910,스무디_블루베리 요거트 스무디,,1.61,
5911,스무디_블루베리 요거트 스무디,,0.34,
5912,스무디_블루베리 요거트 스무디,,1.18,
5913,스무디_블루베리 스무디 (L),,1.07,
5914,스무디_블루베리 스무디 (L),,0.64,
5915,스무디_블루베리 스무디 (M),,0.9,
5916,스무디_블루베리 스무디 (R),,0.6,
5917,스무디_블루베리 요거스무디,,2.03,
5918,스무디_블루베리요거트,,1.13,
5919,스무디_블루베리요거트 스무디,,0.48,
5920,스무디_블루베리요거트 스무디 (L),,1.03,
5921,스무디_블루베리요거트 스무디 (R),,1.2,
5922,스무디_사과요거트 스무디,,1.48,
5923,스무디_삼삼 한라봉 스무디 (L),,0.34,
5924,스무디_바닐라 쉐이크,13.93,2.27,
5925,스무디_바닐라 프라페 (L),,0.89,
5926,스무디_바닐라 프라페 (R),,0.73,
5927,스무디_발로나 민트 초코 프라페,,1.18,
5928,스무디_밤 카라멜 리터치노 아이스(ICED) (L),13.64,1.27,
5929,스무디_밤 카라멜 리터치노 아이스(ICED) (ML),14.08,1.27,
5930,스무디_배 슬러피 아이스(ICED) (L),17.86,0.0,
5931,스무디_배 슬러피 아이스(ICED) (ML),14.23,0.0,
5932,스무디_버터스카치폼 에스프레소 블렌디드,,0.49,
5933,스무디_베리 캐롯 스무디 (L),,1.02,
5934,스무디_베리 캐롯 스무디 (R),,0.85,
5935,스무디_베리 캐롯 스무디 (S),,0.85,
5936,스무디_베리베리 스무디 (L),,0.34,
5937,스무디_베리베리 스무디 (R),,0.21,
5938,스무디_베리베리 스무디 (S),,1.13,
5939,스무디_복숭아 요거스 아이스(ICED) (L),13.53,0.95,
5940,스무디_복숭아 요거스 아이스(ICED) (ML),14.23,0.99,
5941,스무디_복숭아 스무디 (L),,0.1,
5942,스무디_복숭아 스무디 (R),,0.1,
5943,스무디_민트초코 스무디 (L),,1.45,
5944,스무디_민트초코 스무디 (M),,1.37,
5945,스무디_민트초코칩 프라페,,0.51,
5946,스무디_민트초코프라푸치노,,1.33,
5947,스무디_민트초콜릿칩 프라페 (L),,1.36,
5948,스무디_민트초콜릿칩 프라페 (R),,1.35,
5949,스무디_민트쿠키 프라페,,1.69,
5950,스무디_밀크 쉐이크 (L),9.94,0.95,
5951,스무디_밀크 쉐이크 (ML),10.56,0.99,
5952,스무디_밀크 쉐이크,,0.85,
5953,스무디_밀크 쉐이크,,0.98,
5954,스무디_밀크 쉐이크 (R),,1.5,
5955,스무디_바나나 아일랜드 스무디 (L),,1.18,
5956,스무디_바나나 아일랜드 스무디 (R),,1.06,
5957,스무디_바나나 아일랜드 스무디 (S),,1.13,
5958,스무디_바나나 초코칩 프라페,,1.52,
5959,스무디_바나나 퐁 프라페,,1.68,
5960,스무디_바나나프로틴쉐이크,,5.0,
5961,스무디_바닐라 퐁 프라페,,1.18,
5962,스무디_망고 요거트 스무디,,0.99,
5963,스무디_망고 페스티벌 스무디 (L),,0.51,
5964,스무디_망고 페스티벌 스무디 (R),,0.42,
5965,스무디_망고 페스티벌 스무디 (S),,0.56,
5966,스무디_망고바나나요거트,,1.29,
5967,스무디_망고 스무디 (L),,0.0,
5968,스무디_망고 스무디 (L),,0.0,
5969,스무디_망고 스무디 (M),,0.0,
5970,스무디_망고 스무디 (R),,0.0,
5971,스무디_망고요거트,,1.53,
5972,스무디_망고요거트 스무디,,1.48,
5973,스무디_망고 요거트 코코 스무디,,1.65,
5974,스무디_멜론 쉐이크 (L),10.89,1.06,
5975,스무디_멜론 쉐이크 (ML),11.41,1.13,
5976,스무디_모카 프라페 (L),,1.4,
5977,스무디_모카 프라페 (R),,1.08,
5978,스무디_민트 블렌디드,,1.08,
5979,스무디_민트 초코 프라페,,1.57,
5980,스무디_민트초코 루비치노,,1.19,
5981,스무디_레드자몽 쿨러시,,0.08,
5982,스무디_레몬 딸기 스무디,11.57,0.05,0.0
5983,스무디_레몬 요거트 스무디,14.32,1.53,
5984,스무디_레몬트위스트 스트로베리 스무디 (L),,0.17,
5985,스무디_레몬트위스트 스트로베리 스무디 (R),,0.21,
5986,스무디_레몬트위스트 스트로베리 스무디 (S),,0.28,
5987,스무디_로기 리틀 스트로베리 익스크림 스무디,,0.28,
5988,스무디_리얼초코 프라페,,2.03,
5989,스무디_린1 다크초코 스무디 (L),,2.2,
5990,스무디_린1 다크초코 스무디 (R),,2.11,
5991,스무디_린1 다크초코 스무디 (S),,2.26,
5992,스무디_린1 스트로베리 스무디 (L),,2.2,
5993,스무디_린1 스트로베리 스무디 (R),,2.11,
5994,스무디_린1 스트로베리 스무디 (S),,2.26,
5995,스무디_말차초코칩 프라페,,0.85,
5996,스무디_망고 바나나 프라페,,0.19,
5997,스무디_망고 아이스 블렌디드,,0.28,
5998,스무디_망고 요거스 아이스(ICED) (L),13.95,0.95,
5999,스무디_망고 요거스 아이스(ICED) (ML),14.65,0.99,
6000,스무디_딸기 스무디 (L),,1.05,
6001,스무디_딸기 스무디 (L),,0.83,
6002,스무디_딸기 스무디 (M),,0.86,
6003,스무디_딸기 스무디 (R),,0.6,
6004,스무디_딸기요거 스무디,,1.86,
6005,스무디_딸기요거트,,1.14,
6006,스무디_딸기요거트 스무디,,1.17,
6007,스무디_딸기 요거트 드링크,10.0,1.54,
6008,스무디_딸기요거트 스무디 (L),,0.87,
6009,스무디_딸기요거트 스무디 (R),,1.2,
6010,스무디_딸기 초코칩 프라페,,0.68,
6011,스무디_딸기크림쿠키 프라페,,2.03,
6012,스무디_딸기크림프라푸치노,,0.89,
6013,스무디_딸기피치 요거스무디,,1.86,
6014,스무디_딸기한라봉 스무디,,0.0,
6015,스무디_라니 리틀 골드키위 썬샤인 스무디,,0.28,
6016,스무디_라이스 쉐이크,,1.4,
6017,스무디_라임자몽 크러쉬,,0.05,
6018,스무디_라임포도 크러쉬,,0.15,
6019,스무디_더블초코 리터치노 아이스(ICED) (L),13.0,1.06,
6020,스무디_더블초코 리터치노 아이스(ICED) (ML),10.85,0.99,
6021,스무디_디카페인 에스프레소 쉐이크,,0.85,
6022,스무디_딸기 밀크 쉐이크,,1.02,
6023,스무디_딸기 쉐이크,,1.48,
6024,스무디_딸기 요거스 아이스(ICED) (L),13.53,0.95,
6025,스무디_딸기 요거스 아이스(ICED) (ML),14.23,0.99,
6026,스무디_딸기 요거트 블렌디드,,0.91,
6027,스무디_딸기 요거트 스무디,,1.57,
6028,스무디_딸기 요거트 스무디,,1.29,
6029,스무디_딸기 요거트 스무디,,0.34,
6030,스무디_딸기 유자 소르베,,0.08,
6031,스무디_딸기 코코 스무디,19.31,2.2,
6032,스무디_딸기바나나요거트,,1.26,
6033,스무디_딸기 복숭아 스무디,8.88,0.0,0.0
6034,스무디_딸기 쉐이크,,0.68,
6035,스무디_딸기 쉐이크 (R),,1.53,
6036,스무디_딸기스노우 프라페,,0.85,
6037,스무디_딸기스무디,18.22,0.92,
6038,스무디_그릭요거트 파인애플 망고 스무디 (L),,0.34,
6039,스무디_그릭요거트 파인애플 망고 스무디 (S),,0.28,
6040,스무디_그린티 스무디,,1.96,
6041,스무디_그린티 스무디 (L),,1.36,
6042,스무디_그린티 스무디 (M),,1.03,
6043,스무디_그린티 프라페 (L),,0.87,
6044,스무디_그린티 프라페 (R),,0.75,
6045,스무디_글라디에이터 스트로베리 바나나 스무디 (L),,6.43,
6046,스무디_글라디에이터 스트로베리 바나나 스무디 (R),,6.55,
6047,스무디_글라디에이터 스트로베리 바나나 스무디 (S),,6.5,
6048,스무디_글라디에이터 파인애플 망고 스무디 (L),,5.75,
6049,스무디_글라디에이터 파인애플 망고 스무디 (R),,5.71,
6050,스무디_글라디에이터 파인애플 망고 스무디 (S),,5.93,
6051,스무디_꿀배 쿨러시,,0.08,
6052,스무디_녹차 루비치노,,1.38,
6053,스무디_녹차 리터치노 아이스(ICED) (L),14.9,1.16,
6054,스무디_녹차 리터치노 아이스(ICED) (ML),14.93,1.27,
6055,스무디_녹차 바나치노,16.33,1.5,
6056,스무디_달달녹차프라푸치노,,1.38,
6057,스무디_피치 딸기 크러쉬,,0.0,
6058,스무디_한라봉 스노우,18.0,0.2,
6059,스무디_허니 월넛치노,24.47,3.83,3.83
6060,스무디_화이트 초콜릿 모카 프라푸치노 (Tall),,1.13,
6061,스무디_화이트 타이거 프라푸치노 (Grande),,1.06,
6062,스무디_화이트 프로스트 (L),,1.51,
6063,스무디_화이트 프로스트 (R),,1.2,
6064,스무디_흑당 스무디,,1.27,
6065,스무디_히비스커스펀치슬러쉬,,0.02,
6066,스무디_20.6칼로리 슬림 플레인 요거트 스무디,,1.96,
6067,스무디_가니 리틀 캐리비안 웨이,,0.28,
6068,스무디_곡물 스무디,,1.89,
6069,스무디_골드키위 썬샤인 스무디 (L),,0.17,
6070,스무디_골드키위 썬샤인 스무디 (R),,0.21,
6071,스무디_골드키위 썬샤인 스무디 (S),,0.28,
6072,스무디_그릭요거트 스트로베리 블루베리 스무디 (L),,1.52,
6073,스무디_그릭요거트 스트로베리 블루베리 스무디 (R),,1.48,
6074,스무디_그릭요거트 스트로베리 블루베리 스무디 (S),,1.69,
6075,스무디_청포도 쿨러시,,0.08,
6076,스무디_플레인 리얼요거트 프라페노 (R),,1.67,
6077,스무디_플레인 밀크 쉐이크,,2.78,
6078,스무디_플레인 요거 프라노베,,2.22,
6079,스무디_플레인 요거트 그라니따 (R),,1.78,
6080,스무디_플레인 요거트 쉐이크,,2.06,
6081,스무디_플레인 요거트 스무디,,1.73,
6082,스무디_플레인 요거트 스무디,17.07,1.71,1.22
6083,스무디_플레인 요거트 프로스트 (R),,1.54,
6084,스무디_플레인 요거트 플랫치노,,1.58,
6085,스무디_플레인 요거트 할리치노,,1.98,
6086,스무디_플레인 요거트 블렌디드,,2.12,0.85
6087,스무디_플레인요거트 스무디,,1.42,
6088,스무디_플레인 요거트 스무디,,1.17,
6089,스무디_플레인퐁 크러쉬,,1.79,
6090,스무디_플레인허니퐁 크러쉬,,1.91,
6091,스무디_피넛 밀크 쉐이크,,1.67,
6092,스무디_피스타치오 스무디 (XL),,0.76,
6093,스무디_피스타치오 빽스치노 소프트,,1.31,
6094,스무디_피스타치오 빽스치노,,1.28,
6095,스무디_쿨캔디 팝핑스무디,,0.07,
6096,스무디_키위 스무디,,0.72,
6097,스무디_키위 스무벨라,,0.0,
6098,스무디_키위 요거트 프로스트 (L),,1.23,
6099,스무디_키위 요거트 프로스트 (R),,1.13,
6100,스무디_타로 버블 프로스트 (L),,1.12,
6101,스무디_타로 버블 프로스트 (R),,0.7,
6102,스무디_토피넛 프라노베,,1.81,
6103,스무디_토피넛 플랫치노,,1.45,
6104,스무디_트위스트 피치 요거트 블렌디드 (Grande),,0.63,
6105,스무디_파인비타 그라니따 (R),,0.0,
6106,스무디_파인애플망고 스무디,,0.04,
6107,스무디_팥 마시빙,,1.54,
6108,스무디_퍼플 사워 블렌디드 (Tall),,0.0,
6109,스무디_폭탄 프라페,14.0,1.07,5.53
6110,스무디_퐁당치노 미숫가루,,2.87,
6111,스무디_퐁당치노 바닐라,,2.07,
6112,스무디_퐁당치노 원조커피,,1.69,
6113,스무디_플레인 리얼요거트 프라페노 (L),,1.56,
6114,덮밥_오징어,21.94,7.18,2.01
6115,스무디_코코넛 카페 요프치노,,2.22,
6116,스무디_코코넛 커피 그라니따 (R),,1.4,
6117,스무디_코코넛 쿠앤크,,2.82,
6118,스무디_코코프레소,,2.25,
6119,스무디_콜드브루 할리치노,,1.13,
6120,스무디_콜라겐 요거트스무디,16.17,1.91,1.28
6121,스무디_쿠앤크 블렌디드,,1.45,
6122,스무디_쿠앤크 요프치노,,1.39,
6123,스무디_쿠앤크 프라페,,3.66,
6124,스무디_쿠크팝 (L),,2.33,
6125,스무디_쿠크팝 (R),,1.87,
6126,스무디_쿠키 밀크 쉐이크,,3.06,
6127,스무디_쿠키 프라페,104.0,1.53,4.55
6128,스무디_쿠키&크림 스노우,20.72,1.69,
6129,스무디_쿠키앤크림 탐앤치노,15.74,1.28,1.7
6130,스무디_쿠키앤크림 프라노베,,1.5,
6131,스무디_쿠키크런치 빽스치노 소프트,,2.0,
6132,스무디_쿠키크런치 빽스치노,,2.07,
6133,스무디_쿠키 프라페,,1.66,
6134,스무디_카라멜 아이스샷,,1.45,
6135,스무디_카라멜 프라노베,,1.19,
6136,스무디_카라멜 프라페,,1.13,
6137,스무디_카라멜 프라푸치노 (Tall),,1.13,
6138,스무디_카라멜 프로스트 (L),,1.38,
6139,스무디_카라멜 프로스트 (R),,0.87,
6140,스무디_카라멜커피 프라페 (L),,1.69,
6141,스무디_카라멜커피 프라페 (Max),,1.69,
6142,스무디_카라멜커피 프라페 (R),,1.69,
6143,스무디_카라멜 플랫치노,,0.5,
6144,스무디_카페 코코다,10.39,0.65,
6145,스무디_커피 드로잉 말차 프라푸치노 (Tall),,2.25,
6146,스무디_커피밀크쉐이크 (R),,1.21,
6147,스무디_커피 프라페,,1.08,
6148,스무디_커피 플랫치노,,0.39,
6149,스무디_코코넛 그린티,,2.82,
6150,스무디_코코넛 더치,,2.25,
6151,스무디_코코넛 마블 애플망고 (L),,0.29,
6152,스무디_코코넛 아이스샷,,1.69,
6153,스무디_초코바른 제주 그린 스무디,,0.63,
6154,스무디_초코바른 초코 스무디,,0.85,
6155,스무디_초코바른 피스타치오 스무디,,0.85,
6156,스무디_초코빽스치노 소프트,,1.74,
6157,스무디_초코빽스치노,,1.75,
6158,스무디_초코칩 스무디 (XL),,1.36,
6159,스무디_초코칩 프라페노 (L),,2.0,
6160,스무디_초코칩 프라페노 (R),,1.94,
6161,스무디_초코쿠키 쉐이크,,2.17,
6162,스무디_초코크림 프라페,,1.75,
6163,스무디_초코허니퐁 크러쉬,,1.84,
6164,스무디_초콜렛 쿠키&크림 스무디,,0.85,
6165,스무디_초콜릿 밀크 쉐이크,,2.5,
6166,스무디_초콜릿 블렌디드,,1.69,
6167,스무디_초콜릿 블렌디모 아이스(ICED),,2.2,
6168,스무디_초콜릿 칩 플랫치노,,1.7,
6169,스무디_초콜릿 크림 칩 프라푸치노 (Tall),,1.69,
6170,스무디_초콜릿쿠키 젤라또 프라페노 (R),,2.22,
6171,스무디_카라멜 블렌디모 아이스(ICED),,1.23,
6172,스무디_젤라또 쉐이크,,4.25,
6173,스무디_청자몽 팝핑 그라니따 (R),,0.0,
6174,스무디_청포도 스무디,,0.0,
6175,스무디_체리 바닐라 프라페,,1.47,
6176,스무디_체리츄,,1.9,
6177,스무디_초당옥수수 팝핑 스무디,,0.21,
6178,스무디_초당옥수수 스무디,,1.97,
6179,스무디_초코 마시빙,,1.12,
6180,스무디_초코 바닐라 프라페,,1.25,
6181,스무디_초코 쿠키 프라페,,1.46,
6182,스무디_초코 쿠키스무디 (XL),,1.36,
6183,스무디_초코 파르페 (L),,1.97,
6184,스무디_초코 프라노베,,1.53,
6185,스무디_초코 피스타치오 프라페,,1.25,
6186,스무디_초코돼지쉑,,2.03,
6187,스무디_초코밀크 쉐이크 (R),,1.93,
6188,스무디_초코바나나 프라페,,1.69,
6189,스무디_초코바나나 빽스치노 소프트,,1.57,
6190,스무디_초코바나나 빽스치노,,1.6,
6191,스무디_자바칩 프라노베,,1.39,
6192,스무디_자바칩 프라페,,2.82,
6193,스무디_자바칩 프로스트 (L),,2.24,
6194,스무디_자바칩 프로스트 (R),,1.94,
6195,스무디_자바칩모카 프로스트 (L),,1.9,
6196,스무디_자바칩모카 프로스트 (R),,1.72,
6197,스무디_장수 오미자 스무디,,0.03,
6198,스무디_제주 그린 한라봉 모히또 블렌디드 (Grande),,0.0,
6199,스무디_제주 그린티 스무디,,0.63,
6200,스무디_제주 까망 크림 프라푸치노 (Grande),,1.9,
6201,스무디_제주 쑥떡 크림 프라푸치노 (Grande),,1.69,
6202,스무디_제주 유기농 말차로 만든 크림 프라푸치노 (Tall),,1.41,
6203,스무디_제주 한라봉 스무디,,1.93,
6204,스무디_제주녹차 프라페노 (L),,1.33,
6205,스무디_제주녹차 프라페노 (R),,1.39,
6206,스무디_제주 레몬 망고 스무디,,0.12,
6207,스무디_제주말차 프라페 (L),,2.54,
6208,스무디_제주말차 프라페 (Max),,2.37,
6209,스무디_제주말차 프라페 (R),,2.17,
6210,스무디_요거트 애플망고 (L),,0.71,
6211,스무디_요거트 요프치노,,1.11,
6212,스무디_요거트 프라페 (L),,1.27,
6213,스무디_요거트 프라페 (Max),,1.35,
6214,스무디_요거트 프라페 (R),,1.21,
6215,스무디_우도땅콩 바나나 쉐이크,,1.68,
6216,스무디_원조빽스치노 소프트,,1.44,
6217,스무디_원조빽스치노,,1.28,
6218,스무디_월넛 탐앤치노,22.44,3.17,3.66
6219,스무디_유니콘 프라페,,1.18,
6220,스무디_유자 프로스트 (L),,0.99,
6221,스무디_유자 프로스트 (R),,0.94,
6222,스무디_유자스무디,16.48,1.17,0.8
6223,스무디_자두 팝핑 그라니따 (R),,0.43,
6224,스무디_자몽 플랫치노,,0.17,
6225,스무디_자바 초코렛 칩 스노우,19.63,1.47,
6226,스무디_자바 칩 프라푸치노 (Tall),,1.69,
6227,스무디_자바칩 그라니따 (R),,1.16,
6228,스무디_자바칩 탐앤치노,18.54,1.46,3.9
6229,스무디_애플망고 스무디,,0.28,
6230,스무디_애플망고 요거 프라노베,,1.05,
6231,스무디_어른커피 쉐이크,14.39,0.1,2.2
6232,스무디_얼음수박,7.88,0.5,0.01
6233,스무디_에스프레소 밀크 프라페,,0.83,
6234,스무디_에스프레소 프라노베,,1.47,
6235,스무디_에스프레소 프라푸치노 (Tall),,0.56,
6236,스무디_에스프레소 프로스트 (L),,0.94,
6237,스무디_에스프레소 프로스트 (R),,0.7,
6238,스무디_엑스트라 자바칩 탐앤치노,20.64,1.49,3.62
6239,스무디_연유딸기쉑,,2.03,
6240,스무디_연유망고쉑,,2.03,
6241,스무디_오곡 밀크 프라페,,2.78,
6242,스무디_오곡프로스트 (L),,1.88,
6243,스무디_오곡프로스트 (R),,1.8,
6244,스무디_오리지널 바닐라 쉐이크 (R),,0.85,
6245,스무디_오리진 쉐이크,,1.93,
6246,스무디_요거트 스노우,18.01,1.06,
6247,스무디_요거트 스무디,,2.25,
6248,스무디_솜사탕 팝핑 스무디,,0.1,
6249,스무디_수박 달달 스무디,,0.32,
6250,스무디_수박 메론 스무디,,1.73,
6251,스무디_수박그라니따 (R),,0.23,
6252,스무디_순수 치즈 프라페,,2.22,
6253,스무디_슈크림허니퐁 크러쉬,,1.98,
6254,스무디_스트로베리 그라니따 (R),,0.67,
6255,스무디_스트로베리 요거트 그라니따 (R),,1.67,
6256,스무디_스트로베리 치즈프라페,,2.22,
6257,스무디_스트로베리 크림 스무디,,1.41,
6258,스무디_스트로베리초콜릿 프라페 (L),,2.96,
6259,스무디_스트로베리초콜릿 프라페 (Max),,2.71,
6260,스무디_스트로베리초콜릿 프라페 (R),,2.66,
6261,스무디_스트로베리치즈홀릭,,1.17,
6262,스무디_스트로베리피치 프라페 (L),,1.06,
6263,스무디_스트로베리피치 프라페 (R),,0.97,
6264,스무디_아이스 블루베리 요거트 블렌디드,,1.39,0.57
6265,스무디_아임파인,12.37,0.45,0.01
6266,스무디_애플망고 스무디,,0.0,
6267,스무디_블루베리 요거트 그라니따 (R),,1.67,
6268,스무디_블루베리 요거트 쉐이크,,1.17,
6269,스무디_블루베리 요거트 스무디,,1.39,
6270,스무디_블루베리 요거트 스무디,,1.73,
6271,스무디_블루베리 요거트 스무디,,1.97,
6272,스무디_블루베리 요거트 스무디,14.39,0.49,0.49
6273,스무디_블루베리 요거트 스무디,,1.2,
6274,스무디_블루베리 요거트 플랫치노,,1.59,
6275,스무디_블루베리 치즈프라페,,1.94,
6276,스무디_블루베리 요거트 스무디,,1.74,
6277,스무디_비빙 스무디,,2.33,
6278,스무디_삼라봉 요거트 스무디,,0.17,
6279,스무디_생딸기 그래놀라 요거트 스무디,,1.93,
6280,스무디_샤인 머스캣 스무디,,0.0,
6281,스무디_샤인망고 요거트 스무디,,1.2,
6282,스무디_샤인머스캣 요거트 스노우,16.74,1.16,
6283,스무디_샤인머스켓 그라니따 (R),,0.22,
6284,스무디_석류 콜라겐 요거트스무디,16.81,1.49,1.28
6285,스무디_성주참외꿀 스무디,,1.43,
6286,덮밥_돼지고기(제육),16.86,9.43,10.77
6287,스무디_바닐라 크림 프라푸치노 (Tall),,1.13,
6288,스무디_바닐라 탐앤치노,15.37,0.98,2.44
6289,스무디_바닐라밀크쉐이크 (R),,5.8,
6290,스무디_배꿀 스무디,,1.33,
6291,스무디_베리 바나나 프로틴 쉐이크,,2.74,0.39
6292,스무디_베리베리 스무벨라,,0.25,
6293,스무디_복숭아 그라니따 (R),,0.46,
6294,스무디_복숭아 발그레 스무디,,0.56,
6295,스무디_복숭아 스무디,,0.08,
6296,스무디_복숭아 애플망고 스무디,,0.72,
6297,스무디_복숭아 요거트 스무디,,1.67,
6298,스무디_브라운 슈가 쥬얼리 치즈폼 스무디 아이스(ICED),,0.42,
6299,스무디_블루베리 리얼요거트 프라페노 (L),,0.89,
6300,스무디_블루베리 리얼요거트 프라페노 (R),,0.83,
6301,스무디_블루베리 마시빙,,0.77,
6302,스무디_블루베리 버블 프로스트 (L),,1.06,
6303,스무디_블루베리 버블 프로스트 (R),,0.65,
6304,스무디_블루베리 스노우,13.02,1.03,
6305,스무디_블루베리 요거 프라노베,,1.36,
6306,스무디_민트 초콜릿 칩 블렌디드 (Tall),,2.54,
6307,스무디_민트 초콜릿 칩 플랫치노,,1.41,
6308,스무디_민트모카 블렌디모 아이스(ICED),,1.06,
6309,스무디_민트초코 스노우,17.65,0.95,
6310,스무디_민트초코 프라페,,2.54,
6311,스무디_민트초코 빽스치노 소프트,,1.95,
6312,스무디_민트초코 빽스치노,,1.9,
6313,스무디_민트초코칩 블렌디모 아이스(ICED),,1.48,
6314,스무디_민트초코칩 요프치노,,1.11,
6315,스무디_민트초코 프라페 (L),,2.33,
6316,스무디_민트초코 프라페 (Max),,2.2,
6317,스무디_민트초코 프라페 (R),,2.17,
6318,스무디_민트쿠키스무디 (XL),,1.21,
6319,스무디_민트 프라페,,0.95,
6320,스무디_민트 프라페,11.0,0.97,4.74
6321,스무디_밀크 쉐이크,,2.0,
6322,스무디_밀크 쉐이크,11.26,1.82,3.37
6323,스무디_바나나 팔핑 스무디,,0.16,
6324,스무디_바나나퐁 크러쉬,,1.83,
6325,스무디_메리치즈,,2.22,
6326,스무디_메리트리,,3.33,
6327,스무디_모카 브라우니 그라니따 (R),,1.16,
6328,스무디_모카 블렌디모 아이스(ICED),,1.35,
6329,스무디_모카 프라페,,1.13,
6330,스무디_모카 프라푸치노 (Tall),,1.41,
6331,스무디_모카 프로스트 (L),,1.38,
6332,스무디_모카 프로스트 (R),,1.21,
6333,스무디_모카칩커피 프라페 (L),,2.11,
6334,스무디_모카칩커피 프라페 (Max),,2.03,
6335,스무디_모카칩커피 프라페 (R),,1.93,
6336,스무디_모카 프라페,12.1,1.49,4.75
6337,스무디_모카 플랫치노,,0.55,
6338,스무디_믹스베리 요거트 프로스트 (L),,1.05,
6339,스무디_믹스베리 요거트 프로스트 (R),,0.96,
6340,스무디_믹스베리 프로스트 (L),,1.04,
6341,스무디_믹스베리 프로스트 (R),,0.91,
6342,스무디_민트 초코칩 블렌디드,,1.93,
6343,스무디_민트 초코칩 할리치노,,1.69,
6344,스무디_망고요거트 스무디,,1.05,
6345,스무디_망고 프라페 (L),,0.21,
6346,스무디_망고 프라페 (Max),,0.17,
6347,스무디_망고 프라페 (R),,0.24,
6348,스무디_망고 플랫치노,,0.12,
6349,스무디_메론 요거트 스무디,,3.33,
6350,스무디_메론 치즈 프라페,,5.28,
6351,스무디_메론 팝핑 스무디,,4.89,
6352,스무디_메론 쉐이크,10.84,1.46,1.61
6353,스무디_메리뉴욕,,4.17,
6354,스무디_메리딸기,,1.39,
6355,스무디_메리마카롱 딸기,,2.25,
6356,스무디_메리마카롱 소다,,1.39,
6357,스무디_메리마카롱 솜사탕,,1.39,
6358,스무디_메리마카롱 초코,,2.22,
6359,스무디_메리마카롱 피스타치오,,3.28,
6360,스무디_메리망고,,1.39,
6361,스무디_메리베리,,1.39,
6362,스무디_메리초코,,2.22,
