음식ID,이름,탄,단,지
91,피자_리얼불고기 피자 슈화 더블 치즈 페퍼로니 엣지 (L),25.71,14.16,12.42
92,피자_리얼불고기 피자 슈화 더블 치즈 페퍼로니 엣지 (M),25.18,14.87,13.01
93,피자_돈까스웨그 피자 (M),,12.14,
94,피자_두둥 바이킹쉬림프 피자 (XL),,12.43,
95,피자_딜라이트치킨볼 피자 골드 (L),,13.81,
96,피자_딜라이트치킨볼 피자 골드 (M),,13.23,
97,피자_딜라이트치킨볼 피자 노엣지 (L),,14.32,
98,피자_딜라이트치킨볼 피자 노엣지 (M),,13.73,
99,피자_딜라이트치킨볼 피자 에그타르트 (L),,12.81,
100,피자_딜라이트치킨볼 피자 에그타르트 (M),,12.32,
101,피자_딜라이트치킨볼 피자 치즈캡 (L),,15.37,
102,피자_딜라이트치킨볼 피자 치즈캡 (M),,15.0,
103,피자_딜라이트치킨볼 피자 크림치즈 (L),,12.57,
104,피자_딜라이트치킨볼 피자 크림치즈 (M),,12.13,
105,피자_딥치즈베이컨 피자,20.81,20.81,
106,피자_딥치즈 피자 (L),,2.71,
107,피자_딥치즈핫치킨 피자,,18.5,
108,피자_땡초불고기 피자 (L),,5.42,
109,피자_떡갈비 피자 (L),31.73,18.77,12.93
110,피자_라코타스테이크 피자 오리지널,,11.11,13.51
111,피자_더블 치즈버거 피자 오리지널 (P),,11.11,
112,피자_더블 치즈버거 피자 치즈롤 (F),,12.08,
113,피자_더블 치즈버거 피자 치즈롤 (L),,12.23,
114,피자_더블 치즈버거 피자 치즈롤 (P),,12.56,
115,피자_더블불고기 피자 (L),26.29,14.18,11.2
116,피자_더블체다 치즈버거 피자 골드링 (F),,13.21,
117,피자_더블체다 치즈버거 피자 골드링 (L),,13.67,
118,피자_더블체다 치즈버거 피자 골드링 (P),,13.15,
119,피자_더블체다 치즈버거 피자 골드링씬 (F),,12.35,
120,피자_더블체다 치즈버거 피자 씬 (F),,12.73,
121,피자_더블체다 치즈버거 피자 오리지널 (F),,11.86,
122,피자_더블체다 치즈버거 피자 오리지널 (L),,11.53,
123,피자_더블체다 치즈버거 피자 오리지널 (P),,11.67,
124,피자_더블체다 치즈버거 피자 치즈롤 (F),,13.58,
125,피자_더블체다 치즈버거 피자 치즈롤 (L),,13.38,
126,피자_더블체다 치즈버거 피자 치즈롤 (P),,13.48,
127,피자_더블포크쉬림프 피자 (L),,11.48,
128,피자_돈까스웨그 피자 (L),,12.7,
129,피자_대만 콘 치즈 감자 피자 슈퍼시드 화이버 오리지널 (L),32.66,8.5,10.57
